f1,runtime,overlap_ratio,dataset,strategy,seed,wmc,lambda
0.9211111111111111,3.930135488510132,1.2644942869234024,ACM,original_wmc,42,0.3,0.5
0.6766666666666666,2.9181368350982666,1.2644942869234024,ACM,original_wmc,123,0.3,0.5
0.6877777777777778,3.0724332332611084,1.2644942869234024,ACM,original_wmc,456,0.3,0.5
0.9144444444444444,3.072661876678467,1.2644942869234024,ACM,original_wmc,789,0.3,0.5
0.9022222222222223,2.9835152626037598,1.2644942869234024,ACM,original_wmc,1024,0.3,0.5
0.9343379978471474,2.992466926574707,1.3055438002539146,ACM,entropy_adaptive_wmc,42,0.3,0.5
0.8815931108719053,3.084517002105713,1.3055438002539146,ACM,entropy_adaptive_wmc,123,0.3,0.5
0.891280947255113,3.12962007522583,1.3055438002539146,ACM,entropy_adaptive_wmc,456,0.3,0.5
0.7911733046286329,3.003565788269043,1.3055438002539146,ACM,entropy_adaptive_wmc,789,0.3,0.5
0.8848223896663079,3.143062114715576,1.3055438002539146,ACM,entropy_adaptive_wmc,1024,0.3,0.5
0.9283422459893048,3.012739658355713,1.3140076174354633,ACM,margin_adaptive_wmc,42,0.3,0.5
0.7989304812834225,3.0952632427215576,1.3140076174354633,ACM,margin_adaptive_wmc,123,0.3,0.5
0.9208556149732621,3.117846727371216,1.3140076174354633,ACM,margin_adaptive_wmc,456,0.3,0.5
0.9176470588235294,3.0505831241607666,1.3140076174354633,ACM,margin_adaptive_wmc,789,0.3,0.5
0.8973262032085562,3.003385305404663,1.3140076174354633,ACM,margin_adaptive_wmc,1024,0.3,0.5
0.8505154639175257,2.874948501586914,1.2439212659204941,DBLP,original_wmc,42,0.3,0.5
0.8525773195876288,2.711817502975464,1.2439212659204941,DBLP,original_wmc,123,0.3,0.5
0.8484536082474227,2.734039068222046,1.2439212659204941,DBLP,original_wmc,456,0.3,0.5
0.8288659793814434,2.838686466217041,1.2439212659204941,DBLP,original_wmc,789,0.3,0.5
0.856701030927835,2.8138911724090576,1.2439212659204941,DBLP,original_wmc,1024,0.3,0.5
0.8746355685131195,2.735285758972168,1.3195677344654573,DBLP,entropy_adaptive_wmc,42,0.3,0.5
0.8717201166180758,2.9240825176239014,1.3195677344654573,DBLP,entropy_adaptive_wmc,123,0.3,0.5
0.8775510204081632,2.7834813594818115,1.3195677344654573,DBLP,entropy_adaptive_wmc,456,0.3,0.5
0.8639455782312925,2.6929688453674316,1.3195677344654573,DBLP,entropy_adaptive_wmc,789,0.3,0.5
0.8513119533527697,2.719698667526245,1.3195677344654573,DBLP,entropy_adaptive_wmc,1024,0.3,0.5
0.8571428571428571,2.7529549598693848,1.3284446159783867,DBLP,margin_adaptive_wmc,42,0.3,0.5
0.8581081081081081,2.737543821334839,1.3284446159783867,DBLP,margin_adaptive_wmc,123,0.3,0.5
0.862934362934363,2.7722253799438477,1.3284446159783867,DBLP,margin_adaptive_wmc,456,0.3,0.5
0.8571428571428571,2.7921154499053955,1.3284446159783867,DBLP,margin_adaptive_wmc,789,0.3,0.5
0.861969111969112,2.9109630584716797,1.3284446159783867,DBLP,margin_adaptive_wmc,1024,0.3,0.5
