accuracy,runtime,avg_overlap,num_clusters,variant,dataset
0.9269662921348315,3.4647204875946045,1.0,6,A_Original,ACM
0.9211111111111111,3.2488715648651123,1.2644942869234024,6,OrigOverlap_MC0.3,ACM
0.94,2.86228609085083,1.475666525603047,6,OrigOverlap_MC0.1,ACM
0.8544444444444445,3.2246618270874023,1.2644942869234024,6,B_Boundary,ACM
0.8544444444444445,3.221956491470337,1.2644942869234024,6,E_FullRAOCGCN,ACM
0.8403575989782887,2.5959534645080566,1.0,8,A_Original,DBLP
0.8505154639175257,2.711552381515503,1.2439212659204941,8,OrigOverlap_MC0.3,DBLP
0.8432900432900433,2.6617653369903564,1.4816673099189501,8,OrigOverlap_MC0.1,DBLP
0.856701030927835,2.8430423736572266,1.2443072172906213,8,B_Boundary,DBLP
0.8618556701030928,2.8618273735046387,1.2439212659204941,8,E_FullRAOCGCN,DBLP
0.38593974175035867,22.638781547546387,1.0,10,A_Original,IMDB
0.4425587467362924,23.358054876327515,2.2025917926565874,10,OrigOverlap_MC0.3,IMDB
0.4605475040257649,24.545936107635498,3.126349892008639,10,OrigOverlap_MC0.1,IMDB
0.43147208121827413,23.958011150360107,2.4075593952483803,10,B_Boundary,IMDB
0.4359523081626414,23.971117973327637,2.352051835853132,10,E_FullRAOCGCN,IMDB
