f1_micro,f1_macro,runtime,dataset,method,seed,overlap_ratio,num_clusters
0.8597785977859779,0.848353307772167,3.27911639213562,Cora,GCN,0,,
0.8585485854858549,0.8511548502581828,1.6595594882965088,Cora,GraphSAGE,0,,
0.8536285362853628,0.8448860872494431,3.674135684967041,Cora,GAT,0,,
0.7102689486552567,0.6725057208985966,2.2657437324523926,Cora,RandomPartition,0,1.0,14.0
0.8634686346863468,0.8554301502373248,2.2775626182556152,Cora,GCN,1,,
0.8536285362853628,0.852158668069363,1.2723393440246582,Cora,GraphSAGE,1,,
0.8597785977859779,0.8543203113858097,3.802790641784668,Cora,GAT,1,,
0.7032967032967034,0.669889450488108,1.6704416275024414,Cora,RandomPartition,1,1.0,14.0
0.8806888068880688,0.8734039322687407,2.1380112171173096,Cora,GCN,2,,
0.8819188191881919,0.8705479713944932,1.9140968322753906,Cora,GraphSAGE,2,,
0.8794587945879458,0.8710432334533564,3.6525793075561523,Cora,GAT,2,,
0.7378048780487805,0.707987292372687,2.1201822757720947,Cora,RandomPartition,2,1.0,14.0
0.8610086100861009,0.8501711695917002,2.2576019763946533,Cora,GCN,3,,
0.8511685116851169,0.8387677186369162,1.59928297996521,Cora,GraphSAGE,3,,
0.8659286592865929,0.8521588391937087,3.7990503311157227,Cora,GAT,3,,
0.7286063569682152,0.6939766883112858,2.30371356010437,Cora,RandomPartition,3,1.0,14.0
0.8610086100861009,0.849904144241223,2.400731325149536,Cora,GCN,4,,
0.8573185731857319,0.8447365706301868,1.5274631977081299,Cora,GraphSAGE,4,,
0.8560885608856088,0.8476130086389626,3.794074296951294,Cora,GAT,4,,
0.7313797313797313,0.7141491097925087,1.9512925148010254,Cora,RandomPartition,4,1.0,14.0
0.8769987699876999,0.8631183460686348,2.47581148147583,Cora,GCN,5,,
0.8733087330873309,0.8629064647913243,1.648451805114746,Cora,GraphSAGE,5,,
0.8757687576875769,0.8629075836441249,3.9690630435943604,Cora,GAT,5,,
0.7127139364303179,0.7017049925121371,2.0407626628875732,Cora,RandomPartition,5,1.0,14.0
0.8425584255842559,0.8274691740884806,2.2656729221343994,Cora,GCN,6,,
0.8388683886838868,0.8255145344826991,1.7293479442596436,Cora,GraphSAGE,6,,
0.8511685116851169,0.8344806309919394,3.643139600753784,Cora,GAT,6,,
0.7304878048780488,0.7109821794518919,2.2160491943359375,Cora,RandomPartition,6,1.0,14.0
0.8868388683886839,0.8805614878401764,2.2012953758239746,Cora,GCN,7,,
0.8757687576875769,0.8661076677374397,1.4200012683868408,Cora,GraphSAGE,7,,
0.8831488314883149,0.8755529229446202,3.660804033279419,Cora,GAT,7,,
0.7097560975609756,0.676453540930234,1.9411015510559082,Cora,RandomPartition,7,1.0,14.0
0.8536285362853628,0.8455617119944294,2.3356122970581055,Cora,GCN,8,,
0.8585485854858549,0.8473817547023852,1.6095178127288818,Cora,GraphSAGE,8,,
0.8585485854858549,0.8500420217164792,3.760368824005127,Cora,GAT,8,,
0.7188264058679706,0.6885097842131863,2.862673759460449,Cora,RandomPartition,8,1.0,14.0
0.8671586715867159,0.8591244061301069,2.1416096687316895,Cora,GCN,9,,
0.8523985239852399,0.8446838219821825,1.678922176361084,Cora,GraphSAGE,9,,
0.8548585485854858,0.844130240135329,4.736250400543213,Cora,GAT,9,,
0.7667887667887668,0.7157110131609654,2.0078818798065186,Cora,RandomPartition,9,1.0,14.0
0.8696186961869619,0.8542712008325479,2.0490164756774902,Cora,GCN,10,,
0.8757687576875769,0.8597398988218578,1.524613618850708,Cora,GraphSAGE,10,,
0.8733087330873309,0.8584631998548711,3.684600830078125,Cora,GAT,10,,
0.7435897435897436,0.7169902493050344,2.5967423915863037,Cora,RandomPartition,10,1.0,14.0
0.8659286592865929,0.8575221638838526,2.1626453399658203,Cora,GCN,11,,
0.8523985239852399,0.8467046704232067,1.5691533088684082,Cora,GraphSAGE,11,,
0.8646986469864698,0.8573559431300437,3.775449275970459,Cora,GAT,11,,
0.7203907203907204,0.6909586844066171,1.8250792026519775,Cora,RandomPartition,11,1.0,14.0
0.8683886838868389,0.8540277407481696,2.1353657245635986,Cora,GCN,12,,
