f1_micro,f1_macro,runtime,overlap_ratio,num_clusters,dataset,method,wmc,seed,label
0.7298288508557457,0.5594039607768201,2.0571844577789307,1.0,14,Cora,fixed_wmc,1.0,0,no_overlap
0.8026124818577649,0.7018346068261456,1.5162761211395264,1.6864844903988183,14,Cora,fixed_wmc,0.1,0,WMC_0.10
0.8505367464905037,0.8157474451760086,1.4412169456481934,1.4841211225997046,14,Cora,fixed_wmc,0.2,0,WMC_0.20
0.7928571428571428,0.6892511836293408,1.4775173664093018,1.3714918759231904,14,Cora,fixed_wmc,0.3,0,WMC_0.30
0.8247619047619048,0.7887790620046115,1.4198038578033447,1.286189069423929,14,Cora,fixed_wmc,0.4,0,WMC_0.40
0.762,0.6075959755902308,1.4919922351837158,1.223042836041359,14,Cora,fixed_wmc,0.5,0,WMC_0.50
0.7422145328719724,0.5657091657081229,1.5775513648986816,1.413589364844904,14,Cora,adaptive,0.3,0,entropy_l050
0.7844974446337308,0.6875486587677413,1.6007015705108643,1.4361152141802067,14,Cora,adaptive,0.3,0,margin_l050
0.7295918367346939,0.5530464594681083,1.9059243202209473,1.4394387001477105,14,Cora,adaptive,0.3,0,hybrid_l050
0.8484107579462102,0.8278765991081699,1.828343391418457,1.0,14,Cora,fixed_wmc,1.0,1,no_overlap
0.7815674891146589,0.6914334315973021,2.080169200897217,1.6864844903988183,14,Cora,fixed_wmc,0.1,1,WMC_0.10
0.791907514450867,0.685534227507076,1.6363272666931152,1.4841211225997046,14,Cora,fixed_wmc,0.2,1,WMC_0.20
0.8044642857142857,0.7356006575189882,1.5324485301971436,1.3714918759231904,14,Cora,fixed_wmc,0.3,1,WMC_0.30
0.7904761904761904,0.7134593710063912,1.4538600444793701,1.286189069423929,14,Cora,fixed_wmc,0.4,1,WMC_0.40
0.839,0.8134870634431041,1.4834840297698975,1.223042836041359,14,Cora,fixed_wmc,0.5,1,WMC_0.50
0.8451557093425606,0.8154636993067154,1.5040078163146973,1.413589364844904,14,Cora,adaptive,0.3,1,entropy_l050
0.858603066439523,0.842611052028925,1.6003341674804688,1.4361152141802067,14,Cora,adaptive,0.3,1,margin_l050
0.8435374149659864,0.8179011747006891,1.6349904537200928,1.4394387001477105,14,Cora,adaptive,0.3,1,hybrid_l050
0.7493887530562348,0.661281160241962,1.3980085849761963,1.0,14,Cora,fixed_wmc,1.0,2,no_overlap
