dataset,strategy,n_nodes,n_clusters,wmc,lambda,overlap_nodes,overlap_ratio,avg_clusters_per_node,total_membership,entropy_mean,entropy_std,entropy_median,margin_mean,margin_std,margin_median,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_std
ACM,original_wmc,2363,6,0.3,0.5,566,0.23952602623783326,1.2644942869234024,2988,0.15897357229793044,0.18987620884541903,0.0665815855772258,0.25595892048207347,0.3420453362601336,0.05204937685241695,122.0,1114.0,498.0,334.65604232803963
ACM,entropy_adaptive_wmc,2363,6,0.3,0.5,628,0.2657638595006348,1.3055438002539146,3085,0.15897357229793044,0.18987620884541903,0.0665815855772258,0.25595892048207347,0.3420453362601336,0.05204937685241695,130.0,1132.0,514.1666666666666,339.46203355047265
ACM,margin_adaptive_wmc,2363,6,0.3,0.5,614,0.25983918747355056,1.3140076174354633,3105,0.15897357229793044,0.18987620884541903,0.0665815855772258,0.25595892048207347,0.3420453362601336,0.05204937685241695,128.0,1130.0,517.5,341.48828676837513
DBLP,original_wmc,2591,8,0.3,0.5,546,0.21072944808954072,1.2439212659204941,3223,0.12179699355978507,0.17276324801509926,0.0026887897963318156,0.5220383940524557,0.4301390070429982,0.5802139643748769,62.0,980.0,402.875,314.8930125852271
DBLP,entropy_adaptive_wmc,2591,8,0.3,0.5,682,0.2632188344268622,1.3195677344654573,3419,0.12179699355978507,0.17276324801509926,0.0026887897963318156,0.5220383940524557,0.4301390070429982,0.5802139643748769,66.0,987.0,427.375,325.86881467087335
DBLP,margin_adaptive_wmc,2591,8,0.3,0.5,677,0.2612890775762254,1.3284446159783867,3442,0.12179699355978507,0.17276324801509926,0.0026887897963318156,0.5220383940524557,0.4301390070429982,0.5802139643748769,72.0,982.0,430.25,324.77790488270597
