dataset,n_nodes,entropy_mean,entropy_std,entropy_var,ambiguity_mean,ambiguity_std,ambiguity_var,overlap_ratio,mean_clusters,boundary_ratio
ACM,2363,0.15897357229793047,0.18991639853977227,0.03606823843431761,0.25595892048207347,0.34211773446948707,0.11704454423853446,0.23952602623783326,1.2644942869234024,0.32966567922132883
DBLP,2591,0.12179699355978507,0.17279659677479897,0.029858663856952464,0.5220383940524557,0.4302220374476019,0.18509100150556576,0.21072944808954072,1.2439212659204941,0.21651871864145117
IMDB,4630,0.4193406891704731,0.2804291686474543,0.07864051862830236,0.50029122304458,0.33872498755568553,0.11473461719459933,0.6207343412526998,2.2025917926565874,0.9384449244060475
Cora,2708,0.1380641129345523,0.1672303799387791,0.027965999974468414,0.3049868717962166,0.3593433789186656,0.12912766397268366,0.2791728212703102,1.3714918759231904,0.4324224519940916
CiteSeer,3327,0.07073472805948249,0.12588858807743855,0.015847936608131,0.4669867997599754,0.4529564480787496,0.20516954385611694,0.13706041478809738,1.1526901112113015,0.13946498346859032
PubMed,19717,0.14280832979473104,0.16563429304962587,0.027434719034049343,0.1869376798698665,0.2747747781323532,0.07550117869768391,0.22964954100522392,1.2664198407465639,0.2724045240148096
