accuracy,runtime,avg_overlap,num_clusters,num_nodes,variant,description,dataset
0.784841075794621,5.276697874069214,1.0,14,2708,A_Original,No overlap,Cora
0.5848214285714286,4.814636707305908,1.3714918759231904,14,2708,B_Boundary,Boundary only,Cora
0.3,6.044145822525024,1.3714918759231904,14,2708,C_BoundaryUncertainty,Boundary + uncertainty,Cora
0.3,6.3553125858306885,1.3714918759231904,14,2708,D_BoundaryEntropy,Boundary + entropy,Cora
0.35982142857142857,6.946127414703369,1.3714918759231904,14,2708,E_FullRAOCGCN,Boundary + uncertainty + entropy,Cora
0.5902293120638086,4.1159138679504395,1.0,12,3327,A_Original,No overlap,CiteSeer
0.4220103986135182,5.792646646499634,1.1526901112113015,12,3327,B_Boundary,Boundary only,CiteSeer
0.3128249566724437,6.971036672592163,1.1526901112113015,12,3327,C_BoundaryUncertainty,Boundary + uncertainty,CiteSeer
0.1975736568457539,8.0579252243042,1.1526901112113015,12,3327,D_BoundaryEntropy,Boundary + entropy,CiteSeer
0.1975736568457539,10.008697986602783,1.1526901112113015,12,3327,E_FullRAOCGCN,Boundary + uncertainty + entropy,CiteSeer
0.5412301453193646,34.714470863342285,1.0,6,19717,A_Original,No overlap,PubMed
0.4084601014144649,37.38457202911377,1.2664198407465639,6,19717,B_Boundary,Boundary only,PubMed
0.4084601014144649,38.04004096984863,1.2664198407465639,6,19717,C_BoundaryUncertainty,Boundary + uncertainty,PubMed
0.500400320256205,37.88653612136841,1.2664198407465639,6,19717,D_BoundaryEntropy,Boundary + entropy,PubMed
0.4084601014144649,38.369539976119995,1.2664198407465639,6,19717,E_FullRAOCGCN,Boundary + uncertainty + entropy,PubMed
