f1_micro,f1_macro,runtime,overlap_ratio,num_clusters,dataset,method,seed,wmc,lambda
0.7298288508557457,0.5594039607768201,2.0732502937316895,1.0,14,Cora,no_overlap,0,0.3,0.5
0.8484107579462102,0.8278765991081699,1.5295627117156982,1.0,14,Cora,no_overlap,1,0.3,0.5
0.7493887530562348,0.661281160241962,1.5075242519378662,1.0,14,Cora,no_overlap,2,0.3,0.5
0.7163814180929096,0.5531410906699806,1.5165212154388428,1.0,14,Cora,no_overlap,3,0.3,0.5
0.8215158924205379,0.797588725224598,1.5947818756103516,1.0,14,Cora,no_overlap,4,0.3,0.5
0.7677261613691931,0.6917768049708573,1.5900366306304932,1.0,14,Cora,no_overlap,5,0.3,0.5
0.8227383863080685,0.796637651569028,1.5193448066711426,1.0,14,Cora,no_overlap,6,0.3,0.5
0.7946210268948656,0.7206270374415462,1.5826685428619385,1.0,14,Cora,no_overlap,7,0.3,0.5
0.8569682151589242,0.8425334928894301,1.5762910842895508,1.0,14,Cora,no_overlap,8,0.3,0.5
0.8386308068459658,0.8178875721802851,1.6812090873718262,1.0,14,Cora,no_overlap,9,0.3,0.5
0.7928571428571428,0.6892511836293408,1.8333420753479004,1.3714918759231904,14,Cora,original_wmc,0,0.3,0.5
0.8044642857142857,0.7356006575189882,1.842576265335083,1.3714918759231904,14,Cora,original_wmc,1,0.3,0.5
0.83125,0.7942433805940723,1.7320342063903809,1.3714918759231904,14,Cora,original_wmc,2,0.3,0.5
0.7991071428571429,0.7371829702849803,1.67447829246521,1.3714918759231904,14,Cora,original_wmc,3,0.3,0.5
0.85,0.8229040433527516,1.6761915683746338,1.3714918759231904,14,Cora,original_wmc,4,0.3,0.5
0.8401785714285714,0.8190587002743579,1.7034566402435303,1.3714918759231904,14,Cora,original_wmc,5,0.3,0.5
0.8473214285714286,0.8286262075922793,1.6862177848815918,1.3714918759231904,14,Cora,original_wmc,6,0.3,0.5
0.85,0.8302534456508367,1.6564970016479492,1.3714918759231904,14,Cora,original_wmc,7,0.3,0.5
0.8089285714285714,0.7510594383493762,1.6435387134552002,1.3714918759231904,14,Cora,original_wmc,8,0.3,0.5
0.8526785714285714,0.8331757978373592,1.6440649032592773,1.3714918759231904,14,Cora,original_wmc,9,0.3,0.5
0.7422145328719724,0.5657091657081229,1.7813034057617188,1.413589364844904,14,Cora,entropy_adaptive_wmc,0,0.3,0.5
0.8451557093425606,0.8154636993067154,1.686110258102417,1.413589364844904,14,Cora,entropy_adaptive_wmc,1,0.3,0.5
0.8036332179930796,0.7065528486808959,1.7181065082550049,1.413589364844904,14,Cora,entropy_adaptive_wmc,2,0.3,0.5
0.8096885813148789,0.6995047395055652,1.6455321311950684,1.413589364844904,14,Cora,entropy_adaptive_wmc,3,0.3,0.5
0.8460207612456747,0.8251268762998433,1.7366313934326172,1.413589364844904,14,Cora,entropy_adaptive_wmc,4,0.3,0.5
0.8356401384083045,0.8132103926165949,1.6474781036376953,1.413589364844904,14,Cora,entropy_adaptive_wmc,5,0.3,0.5
0.860726643598616,0.8463511462026613,1.8229155540466309,1.413589364844904,14,Cora,entropy_adaptive_wmc,6,0.3,0.5
0.8399653979238755,0.8232936897094792,1.6754326820373535,1.413589364844904,14,Cora,entropy_adaptive_wmc,7,0.3,0.5
0.8269896193771626,0.7868528847111811,1.702714204788208,1.413589364844904,14,Cora,entropy_adaptive_wmc,8,0.3,0.5
0.8070934256055363,0.707286622302056,1.7373034954071045,1.413589364844904,14,Cora,entropy_adaptive_wmc,9,0.3,0.5
0.7844974446337308,0.6875486587677413,1.6299545764923096,1.4361152141802067,14,Cora,margin_adaptive_wmc,0,0.3,0.5
0.858603066439523,0.842611052028925,1.6150529384613037,1.4361152141802067,14,Cora,margin_adaptive_wmc,1,0.3,0.5
0.8083475298126065,0.7276137821589873,1.7650153636932373,1.4361152141802067,14,Cora,margin_adaptive_wmc,2,0.3,0.5
0.8475298126064736,0.8171692444565639,1.6423897743225098,1.4361152141802067,14,Cora,margin_adaptive_wmc,3,0.3,0.5
0.762350936967632,0.6019243461229007,1.732999324798584,1.4361152141802067,14,Cora,margin_adaptive_wmc,4,0.3,0.5
0.8415672913117547,0.819391659396998,1.6894595623016357,1.4361152141802067,14,Cora,margin_adaptive_wmc,5,0.3,0.5
0.8330494037478705,0.8191988507047672,1.6731932163238525,1.4361152141802067,14,Cora,margin_adaptive_wmc,6,0.3,0.5
0.848381601362862,0.8174320075734138,1.7525484561920166,1.4361152141802067,14,Cora,margin_adaptive_wmc,7,0.3,0.5
0.797274275979557,0.6918896980610009,1.6678807735443115,1.4361152141802067,14,Cora,margin_adaptive_wmc,8,0.3,0.5
0.8211243611584327,0.7798608138357468,1.6341090202331543,1.4361152141802067,14,Cora,margin_adaptive_wmc,9,0.3,0.5
0.7295918367346939,0.5530464594681083,1.7669353485107422,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,0,0.3,0.5
0.8435374149659864,0.8179011747006891,1.6532835960388184,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,1,0.3,0.5
0.8350340136054422,0.7973610637022425,1.8253545761108398,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,2,0.3,0.5
0.8205782312925171,0.7369470957200736,1.7589900493621826,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,3,0.3,0.5
0.8367346938775511,0.8057199365095077,1.6934123039245605,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,4,0.3,0.5
0.8452380952380952,0.822340191166503,1.7418792247772217,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,5,0.3,0.5
0.8528911564625851,0.8411623841390252,1.7507307529449463,1.4394387001477105,14,Cora,hybrid_adaptive_wmc,6,0.3,0.5
