dataset,n_nodes,n_clusters,entropy_mean,entropy_std,ambiguity_mean,ambiguity_std,n_clusters_mean,corr_ent_margin,corr_ent_clusters,corr_margin_clusters
ACM,2363,6,0.15897357229793047,0.18987620884541903,0.25595892048207347,0.34204533626013356,1.2644942869234024,0.6244451876362903,0.6980873111380816,0.6121737583666224
DBLP,2591,8,0.12179699355978507,0.17276324801509926,0.5220383940524557,0.4301390070429982,1.2439212659204941,-0.39814007552037173,0.6800650121102146,0.0998541324891414
IMDB,4630,10,0.4193406891704731,0.2803988830845767,0.50029122304458,0.3386884062080379,2.2025917926565874,0.6755291725642575,0.8080828483994071,0.7920777062136
Cora,2708,14,0.1380641129345523,0.1671994999865375,0.3049868717962166,0.3592770243102301,1.3714918759231904,0.5280842048033926,0.7156596404968718,0.6019283061486209
CiteSeer,3327,12,0.07073472805948249,0.12586966742082345,0.4669867997599754,0.4528883701572591,1.1526901112113015,-0.36624657869868804,0.6020259260452512,0.09773715683691644
PubMed,19717,6,0.14280832979473104,0.16563009270491702,0.1869376798698665,0.2747678100778265,1.2664198407465639,0.9806490795057192,0.6970032311381621,0.7284633704692417
